OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Are,Shape__Len,geo_text,census_Tract,pharm_desert_2020,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,HAI_CY
1,06,037,600601,06037600601,6006.01,Census Tract 6006.01,G5020,S,646831,0,+33.9418498,-118.3220544,942220.226562,3878.25603722,A06037600601,600601,,0,US,1,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
2,06,111,008304,06111008304,83.04,Census Tract 83.04,G5020,S,3564268,32835,+34.2669104,-118.6580693,5279869.17188,13131.5337998,A06111008304,8304,,1,US,2,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
3,06,037,540501,06037540501,5405.01,Census Tract 5405.01,G5020,S,1452738,0,+33.9247081,-118.2193041,2115310.24219,7006.0154359,A06037540501,540501,,2,US,3,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
4,06,037,532700,06037532700,5327,Census Tract 5327,G5020,S,771359,0,+33.9852598,-118.2413457,1124754.61328,5015.31417045,A06037532700,532700,,3,US,4,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
5,06,037,300701,06037300701,3007.01,Census Tract 3007.01,G5020,S,13349197,59420,+34.2038347,-118.2517672,19651504.2031,23839.0072396,A06037300701,300701,,4,US,5,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
6,06,037,800101,06037800101,8001.01,Census Tract 8001.01,G5020,S,8096238,0,+34.1340646,-118.6268305,11846596.9648,20563.4355911,A06037800101,800101,,5,US,6,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
7,06,037,544002,06037544002,5440.02,Census Tract 5440.02,G5020,S,1601444,0,+33.8304307,-118.2159639,2326741.52344,7437.34824849,A06037544002,544002,,6,US,7,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
8,06,037,480802,06037480802,4808.02,Census Tract 4808.02,G5020,S,1713243,0,+34.0820626,-118.1526495,2503801.65625,7012.41160814,A06037480802,480802,,7,US,8,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
9,06,037,701201,06037701201,7012.01,Census Tract 7012.01,G5020,S,1941997,0,+34.0412036,-118.4943488,2835403.57422,6800.43022993,A06037701201,701201,,8,US,9,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
10,06,037,670602,06037670602,6706.02,Census Tract 6706.02,G5020,S,14244730,7255809,+33.7435400,-118.3696354,31173041.4883,37959.2462647,A06037670602,670602,,9,US,10,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
11,06,037,650200,06037650200,6502,Census Tract 6502,G5020,S,2424179,0,+33.8628071,-118.3318539,3524740.10156,11087.713224,A06037650200,650200,,10,US,11,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
12,06,037,535606,06037535606,5356.06,Census Tract 5356.06,G5020,S,185791,0,+33.9476557,-118.2252846,270672.484375,2760.01256001,A06037535606,535606,,11,US,12,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
13,06,037,702501,06037702501,7025.01,Census Tract 7025.01,G5020,S,1333945,9889,+34.0146198,-118.3963576,1960855.35547,5939.83996148,A06037702501,702501,,12,US,13,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
14,06,037,601401,06037601401,6014.01,Census Tract 6014.01,G5020,S,1573101,0,+33.9590575,-118.3700611,2292398.14844,6727.65713146,A06037601401,601401,,13,US,14,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
15,06,037,702801,06037702801,7028.01,Census Tract 7028.01,G5020,S,1194168,0,+34.0114681,-118.4101859,1742333.68359,5513.28759069,A06037702801,702801,,14,US,15,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
16,06,037,300400,06037300400,3004,Census Tract 3004,G5020,S,2003274,4708,+34.2284548,-118.2563999,2944711.32812,8803.05320611,A06037300400,300400,,15,US,16,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
17,06,037,670001,06037670001,6700.01,Census Tract 6700.01,G5020,S,939601,0,+33.8038640,-118.3166168,1364308.98047,6084.41420854,A06037670001,670001,,16,US,17,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
18,06,037,920312,06037920312,9203.12,Census Tract 9203.12,G5020,S,12756210,4780,+34.3629821,-118.5258812,18771265.6641,21452.2176828,A06037920312,920312,,17,US,18,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
19,06,037,302104,06037302104,3021.04,Census Tract 3021.04,G5020,S,569424,0,+34.1453999,-118.2320955,833415.746094,4525.52544172,A06037302104,302104,,18,US,19,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
20,06,037,531202,06037531202,5312.02,Census Tract 5312.02,G5020,S,447318,0,+34.0257387,-118.1859280,652872.148438,3891.18670908,A06037531202,531202,,19,US,20,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
21,06,037,670100,06037670100,6701,Census Tract 6701,G5020,S,1451232,0,+33.7847663,-118.3159883,2106265.80469,9210.58990305,A06037670100,670100,,20,US,21,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
22,06,037,543400,06037543400,5434,Census Tract 5434,G5020,S,2923902,180427,+33.8526247,-118.2687215,4512983.03906,9952.83953735,A06037543400,543400,,21,US,22,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
23,06,037,543604,06037543604,5436.04,Census Tract 5436.04,G5020,S,2603075,24156,+33.8095428,-118.2795060,3815148.23828,8304.04580517,A06037543604,543604,,22,US,23,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
24,06,037,700101,06037700101,7001.01,Census Tract 7001.01,G5020,S,674088,0,+34.0925747,-118.3524483,985383.886719,5012.90317199,A06037700101,700101,,23,US,24,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
25,06,037,535607,06037535607,5356.07,Census Tract 5356.07,G5020,S,941321,0,+33.9419438,-118.2211115,1371193.10938,5345.0412179,A06037535607,535607,,24,US,25,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
26,06,037,301000,06037301000,3010,Census Tract 3010,G5020,S,2048659,21482,+34.1564802,-118.2309561,3030691.14062,7786.80361604,A06037301000,301000,,25,US,26,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
27,06,037,572600,06037572600,5726,Census Tract 5726,G5020,S,1223342,49301,+33.8071157,-118.2140846,1848066.73438,5774.0288289,A06037572600,572600,,26,US,27,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
28,06,037,701701,06037701701,7017.01,Census Tract 7017.01,G5020,S,656547,0,+34.0323370,-118.4722531,958391.183594,4832.13763556,A06037701701,701701,,27,US,28,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
29,06,037,701602,06037701602,7016.02,Census Tract 7016.02,G5020,S,660538,0,+34.0350094,-118.4754273,964286.640625,4835.19522206,A06037701602,701602,,28,US,29,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
30,06,037,600704,06037600704,6007.04,Census Tract 6007.04,G5020,S,951773,12266,+33.9545341,-118.3237463,1404756.48438,4854.83870483,A06037600704,600704,,29,US,30,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
31,06,037,701601,06037701601,7016.01,Census Tract 7016.01,G5020,S,1229471,3025,+34.0389491,-118.4799628,1799423.44531,6022.52316864,A06037701601,701601,,30,US,31,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
32,06,037,601302,06037601302,6013.02,Census Tract 6013.02,G5020,S,1219665,0,+33.9692983,-118.3644406,1777774.21484,7237.18148674,A06037601302,601302,,31,US,32,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
33,06,037,620102,06037620102,6201.02,Census Tract 6201.02,G5020,S,871913,0,+33.9201935,-118.4180630,1269443.45703,5884.15800804,A06037620102,620102,,32,US,33,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
34,06,037,601301,06037601301,6013.01,Census Tract 6013.01,G5020,S,614464,0,+33.9791778,-118.3638240,895848.800781,4071.80906796,A06037601301,601301,,33,US,34,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
35,06,037,700502,06037700502,7005.02,Census Tract 7005.02,G5020,S,504038,0,+34.0902917,-118.3807073,736765.066406,3984.07524628,A06037700502,700502,,34,US,35,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
36,06,037,301702,06037301702,3017.02,Census Tract 3017.02,G5020,S,824880,0,+34.1511584,-118.2692352,1207468.26953,4522.20467005,A06037301702,301702,,35,US,36,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
37,06,037,543905,06037543905,5439.05,Census Tract 5439.05,G5020,S,2742579,1393,+33.8155623,-118.2550214,3985397.41797,8911.95878872,A06037543905,543905,,36,US,37,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
38,06,037,212501,06037212501,2125.01,Census Tract 2125.01,G5020,S,79596,0,+34.0560700,-118.3053637,116254.761719,1402.05277895,A06037212501,212501,,37,US,38,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
39,06,037,700801,06037700801,7008.01,Census Tract 7008.01,G5020,S,1454766,0,+34.0717107,-118.3967808,2125542.94531,7395.17921472,A06037700801,700801,,38,US,39,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
40,06,037,209104,06037209104,2091.04,Census Tract 2091.04,G5020,S,69958,0,+34.0591782,-118.2663761,102184.722656,1415.29236684,A06037209104,209104,,39,US,40,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
41,06,037,600911,06037600911,6009.11,Census Tract 6009.11,G5020,S,683105,0,+33.9786571,-118.3522115,995911.863281,4191.73377574,A06037600911,600911,,40,US,41,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
42,06,037,540901,06037540901,5409.01,Census Tract 5409.01,G5020,S,1163425,331,+33.9194635,-118.2717325,1694324.55469,5821.54781261,A06037540901,540901,,41,US,42,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
43,06,037,700902,06037700902,7009.02,Census Tract 7009.02,G5020,S,954427,0,+34.0620828,-118.3944002,1394190.45703,4769.61582216,A06037700902,700902,,42,US,43,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
44,06,037,543501,06037543501,5435.01,Census Tract 5435.01,G5020,S,2660821,6246,+33.8387785,-118.2825106,3875842.6875,12756.7118301,A06037543501,543501,,43,US,44,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
45,06,037,540902,06037540902,5409.02,Census Tract 5409.02,G5020,S,2515150,1031,+33.9109785,-118.2718223,3662459.52344,7645.84630347,A06037540902,540902,,44,US,45,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
46,06,037,540300,06037540300,5403,Census Tract 5403,G5020,S,1531882,0,+33.9335726,-118.2196227,2231006.83984,8068.53871574,A06037540300,540300,,45,US,46,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
47,06,037,189903,06037189903,1899.03,Census Tract 1899.03,G5020,S,83968,0,+34.1025151,-118.3477123,122772.839844,1528.00440101,A06037189903,189903,,46,US,47,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,56
48,06,037,211921,06037211921,2119.21,Census Tract 2119.21,G5020,S,92665,0,+34.0672320,-118.2929020,135377.773438,1530.66351459,A06037211921,211921,,47,US,48,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
49,06,037,211922,06037211922,2119.22,Census Tract 2119.22,G5020,S,92893,0,+34.0672221,-118.2953981,135711.703125,1531.8404134,A06037211922,211922,,48,US,49,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
50,06,037,600201,06037600201,6002.01,Census Tract 6002.01,G5020,S,585704,0,+33.9482522,-118.2972695,853303.125,4202.34184415,A06037600201,600201,,49,US,50,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
51,06,037,650101,06037650101,6501.01,Census Tract 6501.01,G5020,S,1896575,6911,+33.8681429,-118.3164997,2767950.27344,6803.84392878,A06037650101,650101,,0,US,51,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
52,06,037,212305,06037212305,2123.05,Census Tract 2123.05,G5020,S,108058,0,+34.0561038,-118.2981624,157825.378906,1605.70791424,A06037212305,212305,,1,US,52,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
53,06,037,602900,06037602900,6029,Census Tract 6029,G5020,S,2796887,1146,+33.9079762,-118.3065724,4072688.96094,10022.8171499,A06037602900,602900,,2,US,53,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
54,06,037,700802,06037700802,7008.02,Census Tract 7008.02,G5020,S,685523,0,+34.0684226,-118.3820811,1001533.375,5558.85647042,A06037700802,700802,,3,US,54,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
55,06,037,212203,06037212203,2122.03,Census Tract 2122.03,G5020,S,106316,0,+34.0597622,-118.2903562,155292.960938,1659.21593496,A06037212203,212203,,4,US,55,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
56,06,037,543603,06037543603,5436.03,Census Tract 5436.03,G5020,S,1478167,0,+33.8044719,-118.2937967,2146337.92188,6445.14988756,A06037543603,543603,,5,US,56,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
57,06,037,480600,06037480600,4806,Census Tract 4806,G5020,S,2332424,30197,+34.1193401,-118.1551292,3455853.96484,10609.9611697,A06037480600,480600,,6,US,57,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
58,06,037,208904,06037208904,2089.04,Census Tract 2089.04,G5020,S,112105,0,+34.0595681,-118.2700929,163747.855469,1682.05038043,A06037208904,208904,,7,US,58,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
59,06,037,603101,06037603101,6031.01,Census Tract 6031.01,G5020,S,881550,0,+33.8867825,-118.2954546,1282486.69531,4653.76835745,A06037603101,603101,,8,US,59,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
60,06,037,119340,06037119340,1193.40,Census Tract 1193.40,G5020,S,122149,0,+34.2336090,-118.4519009,179150.230469,1710.52739726,A06037119340,119340,,9,US,60,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
61,06,037,209103,06037209103,2091.03,Census Tract 2091.03,G5020,S,124015,0,+34.0571100,-118.2640302,181136.515625,1729.66912289,A06037209103,209103,,10,US,61,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
62,06,037,320201,06037320201,3202.01,Census Tract 3202.01,G5020,S,918376,0,+34.2860283,-118.4396292,1348604.70312,6077.91387246,A06037320201,320201,,11,US,62,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
63,06,037,310400,06037310400,3104,Census Tract 3104,G5020,S,1406752,0,+34.2026770,-118.3354064,2061711.45312,7497.96900764,A06037310400,310400,,12,US,63,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
64,06,037,209402,06037209402,2094.02,Census Tract 2094.02,G5020,S,136235,0,+34.0546619,-118.2772210,198970.402344,1786.62515906,A06037209402,209402,,13,US,64,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
65,06,037,209403,06037209403,2094.03,Census Tract 2094.03,G5020,S,138199,0,+34.0531328,-118.2738446,201834.78125,1798.54018965,A06037209403,209403,,14,US,65,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
66,06,037,211910,06037211910,2119.10,Census Tract 2119.10,G5020,S,137966,0,+34.0672078,-118.2985036,201558.300781,1802.02476625,A06037211910,211910,,15,US,66,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,77
67,06,037,207501,06037207501,2075.01,Census Tract 2075.01,G5020,S,134327,0,+34.0564422,-118.2529675,196192.015625,1803.18399849,A06037207501,207501,,16,US,67,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,54
68,06,037,212102,06037212102,2121.02,Census Tract 2121.02,G5020,S,138654,0,+34.0635726,-118.2984976,202548.632812,1806.45254284,A06037212102,212102,,17,US,68,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
69,06,037,211803,06037211803,2118.03,Census Tract 2118.03,G5020,S,139528,0,+34.0671880,-118.3022323,203840.699219,1811.38497206,A06037211803,211803,,18,US,69,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,118
70,06,037,211201,06037211201,2112.01,Census Tract 2112.01,G5020,S,139369,0,+34.0745294,-118.2984693,203642.707031,1811.41951682,A06037211201,211201,,19,US,70,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,34
71,06,037,701304,06037701304,7013.04,Census Tract 7013.04,G5020,S,2080173,243797,+34.0293136,-118.5076229,3392158.01953,8640.4101848,A06037701304,701304,,20,US,71,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
72,06,037,535001,06037535001,5350.01,Census Tract 5350.01,G5020,S,449783,0,+33.9714062,-118.2531399,655636.105469,3261.01109828,A06037535001,535001,,21,US,72,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
73,06,037,211310,06037211310,2113.10,Census Tract 2113.10,G5020,S,143949,0,+34.0709091,-118.2984930,210316.808594,1841.91069276,A06037211310,211310,,22,US,73,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,36
74,06,037,301601,06037301601,3016.01,Census Tract 3016.01,G5020,S,2257346,1299,+34.1623874,-118.2865467,3307243.41406,9630.96327835,A06037301601,301601,,23,US,74,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
75,06,037,600801,06037600801,6008.01,Census Tract 6008.01,G5020,S,971032,0,+33.9654794,-118.3221115,1415250.28906,4913.5121838,A06037600801,600801,,24,US,75,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
76,06,037,208301,06037208301,2083.01,Census Tract 2083.01,G5020,S,92955,0,+34.0619781,-118.2658491,135783.3125,1910.01648077,A06037208301,208301,,25,US,76,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
77,06,037,651001,06037651001,6510.01,Census Tract 6510.01,G5020,S,1416729,1784,+33.8123572,-118.3130811,2060096.71875,7013.47784236,A06037651001,651001,,26,US,77,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
78,06,037,212303,06037212303,2123.03,Census Tract 2123.03,G5020,S,155646,0,+34.0597633,-118.2935144,227347.308594,1923.2331426,A06037212303,212303,,27,US,78,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
79,06,037,190402,06037190402,1904.02,Census Tract 1904.02,G5020,S,157146,0,+34.1035491,-118.3071514,229773.921875,1924.52910784,A06037190402,190402,,28,US,79,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
80,06,037,302505,06037302505,3025.05,Census Tract 3025.05,G5020,S,536495,0,+34.1273036,-118.2530810,784885.296875,5866.75497398,A06037302505,302505,,29,US,80,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
81,06,037,189904,06037189904,1899.04,Census Tract 1899.04,G5020,S,159600,0,+34.0997191,-118.3467929,233341.570312,1946.67944102,A06037189904,189904,,30,US,81,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
82,06,037,600702,06037600702,6007.02,Census Tract 6007.02,G5020,S,2387148,43367,+33.9497147,-118.3335012,3541140.12891,8886.79296846,A06037600702,600702,,31,US,82,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
83,06,037,602802,06037602802,6028.02,Census Tract 6028.02,G5020,S,1335285,0,+33.9201775,-118.3003773,1944088.23828,5893.33361139,A06037602802,602802,,32,US,83,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
84,06,037,540600,06037540600,5406,Census Tract 5406,G5020,S,937162,0,+33.9243583,-118.2341162,1364580.67578,4750.9272974,A06037540600,540600,,33,US,84,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
85,06,037,603102,06037603102,6031.02,Census Tract 6031.02,G5020,S,745751,0,+33.8771829,-118.2952310,1084678.80859,4181.46845512,A06037603102,603102,,34,US,85,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
86,06,037,190401,06037190401,1904.01,Census Tract 1904.01,G5020,S,166929,0,+34.1035718,-118.3027866,244080.1875,1972.70878516,A06037190401,190401,,35,US,86,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
87,06,037,602801,06037602801,6028.01,Census Tract 6028.01,G5020,S,1253728,0,+33.9274020,-118.3001717,1825647.68359,5796.03316765,A06037602801,602801,,36,US,87,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
88,06,037,600100,06037600100,6001,Census Tract 6001,G5020,S,757581,0,+33.9551471,-118.2956255,1103885.52734,4547.26072644,A06037600100,600100,,37,US,88,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
89,06,037,209810,06037209810,2098.10,Census Tract 2098.10,G5020,S,149829,0,+34.0491173,-118.2823449,218798.914062,1995.521087,A06037209810,209810,,38,US,89,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
90,06,037,800204,06037800204,8002.04,Census Tract 8002.04,G5020,S,7957763,90645,+34.1453278,-118.6590622,11779998.4922,21649.1877104,A06037800204,800204,,39,US,90,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
91,06,037,701000,06037701000,7010,Census Tract 7010,G5020,S,1422538,0,+34.0618692,-118.4057731,2077955.55078,6949.48024575,A06037701000,701000,,40,US,91,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
92,06,037,301602,06037301602,3016.02,Census Tract 3016.02,G5020,S,986836,9553,+34.1621154,-118.2987272,1458876.20312,5713.7676495,A06037301602,301602,,41,US,92,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
93,06,037,702700,06037702700,7027,Census Tract 7027,G5020,S,1339404,11605,+34.0058662,-118.4009840,1970891.42969,6482.60634574,A06037702700,702700,,42,US,93,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
94,06,037,703100,06037703100,7031,Census Tract 7031,G5020,S,2662194,1987,+33.9917092,-118.3544096,3885454.64062,9860.74600071,A06037703100,703100,,43,US,94,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,0,0
95,06,037,212410,06037212410,2124.10,Census Tract 2124.10,G5020,S,157191,0,+34.0595607,-118.3022261,229603.019531,2045.04269906,A06037212410,212410,,44,US,95,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
96,06,037,211202,06037211202,2112.02,Census Tract 2112.02,G5020,S,179169,0,+34.0745209,-118.2941130,261796.445312,2048.09205918,A06037211202,211202,,45,US,96,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
97,06,037,120103,06037120103,1201.03,Census Tract 1201.03,G5020,S,138471,0,+34.2297200,-118.4517987,203069.855469,2081.73955372,A06037120103,120103,,46,US,97,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,64
98,06,037,208710,06037208710,2087.10,Census Tract 2087.10,G5020,S,170380,0,+34.0657276,-118.2825414,248905.066406,2082.16689396,A06037208710,208710,,47,US,98,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,61
99,06,037,208902,06037208902,2089.02,Census Tract 2089.02,G5020,S,184049,0,+34.0564462,-118.2723721,268817.648438,2084.19123274,A06037208902,208902,,48,US,99,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
100,06,037,212101,06037212101,2121.01,Census Tract 2121.01,G5020,S,185780,0,+34.0635956,-118.2941415,271388.582031,2088.52696517,A06037212101,212101,,49,US,100,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,40
101,06,037,211804,06037211804,2118.04,Census Tract 2118.04,G5020,S,185958,0,+34.0671619,-118.3066067,271673.476562,2089.3795255,A06037211804,211804,,0,US,101,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,24
102,06,037,211320,06037211320,2113.20,Census Tract 2113.20,G5020,S,186272,0,+34.0708715,-118.2941394,272154.601562,2090.39218177,A06037211320,211320,,1,US,102,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,0
103,06,037,209820,06037209820,2098.20,Census Tract 2098.20,G5020,S,179107,0,+34.0472132,-118.2782548,261540.511719,2095.73529857,A06037209820,209820,,2,US,103,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,28
104,06,037,211703,06037211703,2117.03,Census Tract 2117.03,G5020,S,184109,0,+34.0671467,-118.3115820,268970.171875,2098.70269226,A06037211703,211703,,3,US,104,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,33
105,06,037,211704,06037211704,2117.04,Census Tract 2117.04,G5020,S,184945,0,+34.0635115,-118.3115783,270170.125,2117.09207104,A06037211704,211704,,4,US,105,"BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints",2.191,2.576,1,36
